username,policy,service,status,risk
lee-admin,AdministratorAccess,AWS App2Container,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Alexa for Business,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS IAM Access Analyzer,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Account Management,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Certificate Manager,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Private Certificate Authority,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Compute Optimizer Automation,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Action Recommendations,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Activate,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon WorkSpaces AgentAccess MCP Server,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS DevOps Agent Service,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon AI Operations,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon Managed Workflows for Apache Airflow,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS MWAA Serverless,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Amplify,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Amplify Admin,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Amplify UI Builder,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon OpenSearch Serverless,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Manage - Amazon API Gateway,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon AppIntegrations,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS AppConfig,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS AppFabric,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon AppFlow,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Application Auto Scaling,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon CloudWatch Application Signals,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon CloudWatch Application Signals MCP Server,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Application Transformation Service,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon CloudWatch Application Insights,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS App Mesh,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS App Mesh Preview,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS App Runner,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon AppStream 2.0,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS App Studio,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS AppSync,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Mainframe Modernization Application Testing,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon Managed Service for Prometheus,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon ARC Region switch,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon Application Recovery Controller - Zonal Shift,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Application Discovery Arsenal,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Artifact,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon Athena,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Audit Manager,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon EC2 Auto Scaling,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Auto Scaling,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Claude Platform on AWS,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Marketplace,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Marketplace Management Portal,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Billing Console,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Connector Service,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS B2B Data Interchange,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Backup,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Backup Gateway,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Backup Search,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Backup storage,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Batch,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Billing and Cost Management Dashboards,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Billing And Cost Management Data Exports,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Billing And Cost Management Pricing Calculator,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Billing And Cost Management Recommended Actions,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon Bedrock,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon Bedrock Agentcore,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon Bedrock Powered by AWS Mantle,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Billing,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Billing Conductor,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon Braket,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Budget Service,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS BugBust,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon Connect Cases,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon Keyspaces (for Apache Cassandra),NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Cost Explorer Service,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Chatbot,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon Chime,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Clean Rooms,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Clean Rooms ML,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Cloud9,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon Cloud Directory,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS CloudFormation,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon CloudFront,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon CloudFront KeyValueStore,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS CloudHSM,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon CloudSearch,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS CloudShell,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS CloudTrail,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS CloudTrail Data,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon CloudWatch,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS CodeArtifact,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS CodeBuild,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon CodeCatalyst,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS CodeCommit,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS CodeConnections,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS CodeDeploy,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS CodeDeploy secure host commands service,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon CodeGuru,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon CodeGuru Profiler,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon CodeGuru Reviewer,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon CodeGuru Security,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS CodePipeline,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS CodeStar,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS CodeStar Connections,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS CodeStar Notifications,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon CodeWhisperer,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon Cognito Identity,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon Cognito User Pools,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon Cognito Sync,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon Comprehend,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,Amazon Comprehend Medical,NEVER USED,HIGH RISK - Unused Admin Permission
lee-admin,AdministratorAccess,AWS Compute Optimizer,NEVER USED,HIGH RISK - Unused Admin Permission
